1-Jan,"In 1979, an ice storm that began December 31st, 1978, continued through New Years Day. Madison County was especially hard hit, and residents said this event was possibly the biggest in 50 years. ^In 1996, heavy snow fell across northwest Arkansas and eastern Oklahoma. 4 to 8 inches of snow were common, with up to 12 inches in extreme northwest Arkansas. ^In 2006, three fast-moving wildfires near Bristow burned thousands of acres and many structures. Several other fires occurred this day, including one near Muskogee that burned 16,000 acres."
2-Jan,"In 1999, a severe winter storm brought freezing rain to northwest Arkansas and northeast Oklahoma. Carroll County, Arkansas was hard-hit by ice accumulations of up to half an inch. Travel was also nearly impossible. The Governor of Arkansas declared Carroll County one of six counties in northwest Arkansas eligible for disaster relief funds. That area also received 1 to 2 inches of snow."
3-Jan,"In 2000, severe thunderstorms moved from southeast Oklahoma to northwest Arkansas, producing damaging winds and large hail. Eastern Latimer County between Wilburton and Red Oak received wind damage to several buildings and trees. The Auction House in Wilburton had its roof blown off, and other businesses had their windows broken. Several mobile homes and other structures were damaged."
4-Jan,"In 1917, an F3 tornado killed 16 people and injured 20 when it destroyed a Choctaw Indian Baptist Mission school in Vireton, OK, 13 miles northeast of McAlester in Pittsburg County. All 16 killed were children, ranging from ages 6 to 18. ^In 1998, heavy rain fell across northeast Oklahoma and northwest Arkansas from the 4th-5th. 3 to 6 inches of rain were common, and Fayetteville's Drake Field had a 2-day rainfall total of 6.33 inches. Widespread flash flooding occurred, and most creeks and rivers overflowed their banks. The storm also produced 90 to 100 mph winds in some areas."
5-Jan,"In 2005, winter storms and floods occurred in northeast Oklahoma and northwest Arkansas. Rain changed to freezing rain and sleet as cold air moved into the area. Ice accumulated on trees, power lines, and other surfaces. Heavy sleet also occurred in Osage, Pawnee, and Washington Counties, causing major travel problems. Flooding had occurred earlier in the day due to thunderstorms."
6-Jan,"In 1988, from January 5th-7th, widespread heavy snow covered the entire area. This winter storm was one of the largest snowstorms for the southern U.S. in the 20th century. From the afternoon of the 5th until about 1AM on the 7th, 6 to 11 inches of snow fell in northwest Arkansas and over a foot fell in parts of eastern Oklahoma."
7-Jan,"In 2008, thunderstorms moved through northeast Oklahoma and northwest Arkansas, producing 7 tornadoes. Luckily, no injuries were reported. Wind gusts greater than 80 mph occurred in Okfuskee, Muskogee, Mayes, Benton, and Carroll Counties. Throughout the path of the thunderstorms, penny size hail was common. All 7 tornadoes were produced in a path from Wagoner County, OK to Benton County, AR."
8-Jan,"In 1920, 11.5 inches of snow fell in Tulsa on the 8th-9th. ^In 1962, much of southeast Oklahoma received heavy snow. Poteau received 6 inches and the rest of the area received 2 to 4 inches. Some ice also fell farther south."
9-Jan,"In 1975, a tornado touched down on the south side of the USN Ammo plant in Pittsburg County at about 10:30PM. 5 mobile homes were destroyed in this twister's 12 mile intermittent path. Another tornado near Springdale, AR destroyed 3 mobile homes, injured 5 people, and damaged a house. Wind damage was also reported in Washington County, AR."
10-Jan,"In 1977, heavy snow fell across east central Oklahoma and northwest Arkansas, with very cold temperatures from January 9-10. Over a foot of snow fell  in an area from southeast of Tulsa to Carroll County, AR, including 14 inches at Tahlequah, OK and Green Forest, AR. Low temperatures of -10 to -15 degrees were common in these areas on the morning of the 10th, including a low of-16 in Claremore, and -14 degrees in McAlester, their all-time record low."
