,"Кількість уперше зареєстрованих випадків захворювань, тис. - усього",У тому числі,,,,,,,,
,,новоутворення,хвороби нервової системи2,хвороби системи кровообігу,хвороби органів дихання,хвороби шкіри та підшкірної клітковини,хвороби кістково-м’язової системи і сполучної тканини,хвороби сечостатевої системи,"уроджені аномалії (вади розвитку), деформації та хромосомні порушення","травми, отруєння та деякі інші наслідки дії зовнішніх причин"
1992,33214,333,3005,1412,16226,1999,1529,1459,52,3018
1993,33833,332,3045,1412,16671,2037,1543,1519,54,2878
1994,31455,328,3024,1401,14499,2135,1439,1489,49,2704
1995,32547,327,3037,1390,15705,2144,1416,1544,47,2647
1996,30169,335,3067,1412,13221,2090,1431,1623,50,2603
1997,31158,348,3104,1497,14129,2051,1476,1711,53,2484
1998,31974,372,3331,1690,13877,2122,1600,1881,59,2465
1999,32959,382,767,1950,14485,2037,1548,1886,61,2401
2000,33471,382,748,2338,14639,1996,1571,1939,62,2339
2001,33192,394,745,2384,14213,2008,1593,2049,59,2239
2002,32233,382,748,2370,13372,1950,1598,2039,57,2244
2003,32585,395,751,2386,13835,1915,1572,2077,54,2297
2004,32573,406,755,2498,13511,1917,1609,2153,55,2245
2005,32912,408,754,2430,13894,1936,1600,2185,53,2264
2006 ,32240,414,764,2431,13308,1906,1597,2172,53,2289
2007,32807,407,752,2437,13946,1952,1569,2132,51,2284
2008,32467,406,753,2478,13671,1911,1567,2136,51,2263
2009,33032,407,754,2423,14528,1890,1544,2140,52,2164
2010,33080,418,750,2390,14595,1921,1532,2138,52,2217
2011,32381,423,744,2346,14148,1881,1490,2095,55,2136
2012,31162,433,724,2318,13220,1852,1445,2047,54,2140
2013,31024,440,704,2256,13293,1856,1444,2046,55,2085
 20141,26881,363,651,1880,11839,1570,1247,1756,48,1723
 20151,26789,366,653,1844,11862,1567,1246,1779,48,1698
 20161,27361,369,647,1826,12582,1564,1241,1761,47,1705
 20171,26615,366,636,1781,12037,1564,1218,1724,47,1697
"1 Без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та тимчасово окупованих територій у Донецькій та Луганській областях.",,,,,,,,,,
"2 Згідно з МКХ-10, починаючи з 1999 р., з класу хвороб нервової системи і органів чуття вилучені і сформовані в окремі класи хвороби ока та його придаткового апарату і хвороби вуха та соскоподібного відростка.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
